Airline,Origin,Destination,Distance,DepTime,ArrDelay,Delayed
UA,LAX,ATL,2066,773,42,1
B6,DFW,ATL,2873,219,21,1
AA,JFK,ORD,518,133,3,0
AS,SFO,ATL,2594,840,73,1
UA,SFO,ATL,2792,993,13,0
WN,JFK,ORD,1743,1301,-16,0
WN,ORD,DFW,1224,2000,105,1
UA,CLT,ORD,2564,1594,16,1
WN,LAS,CLT,999,1510,96,1
NK,ORD,ORD,678,1432,48,1
UA,DEN,ORD,586,914,57,1
AA,DEN,CLT,2700,1255,179,1
UA,DEN,JFK,1395,1799,77,1
B6,DFW,ATL,223,588,52,1
B6,DEN,ORD,2196,263,43,1
DL,DEN,JFK,2512,52,-17,0
WN,DEN,JFK,2488,536,41,1
AS,CLT,SFO,1458,1361,52,1
WN,DEN,ATL,2035,400,52,1
NK,ORD,DFW,692,673,144,1
UA,SFO,LAX,1110,846,83,1
AS,DEN,ORD,1637,831,166,1
AS,LAS,JFK,2417,1399,159,1
WN,ATL,ATL,468,2152,85,1
AS,JFK,CLT,2099,1480,117,1
AS,DEN,ORD,2780,876,-9,0
B6,LAS,JFK,2582,1602,26,1
AA,CLT,ATL,840,62,-10,0
UA,LAX,LAS,769,890,50,1
WN,ORD,CLT,1727,2075,71,1
B6,CLT,ORD,2112,1087,-13,0
NK,LAS,ATL,2334,846,173,1
NK,CLT,DFW,1178,1037,120,1
DL,JFK,SFO,1858,1397,104,1
AS,ORD,JFK,2615,2332,163,1
AS,CLT,ORD,2274,1789,39,1
WN,JFK,JFK,2307,2042,56,1
AA,SFO,ORD,1591,1099,162,1
AA,ATL,DEN,1281,897,64,1
WN,SFO,LAS,1486,524,12,0
WN,ATL,DEN,1811,2085,-15,0
B6,CLT,CLT,631,564,46,1
NK,DEN,ATL,2999,443,49,1
WN,CLT,DFW,1117,184,165,1
NK,JFK,CLT,787,1963,4,0
DL,LAS,JFK,1059,513,-6,0
NK,LAS,CLT,476,1498,162,1
B6,DEN,LAX,1071,217,156,1
AS,LAS,DEN,1005,2324,112,1
AS,DEN,ATL,1302,1181,141,1
NK,DEN,ATL,2317,1361,72,1
AS,ATL,DFW,488,1502,125,1
AS,ORD,JFK,282,1227,174,1
UA,ORD,ATL,2745,809,164,1
DL,LAX,CLT,2985,447,138,1
B6,ATL,LAS,357,1067,98,1
B6,LAS,LAX,226,1785,24,1
AS,SFO,DEN,2529,927,78,1
AA,ORD,DFW,1023,64,130,1
B6,CLT,CLT,2846,473,165,1
DL,LAS,CLT,2182,1444,17,1
WN,JFK,CLT,898,1202,123,1
DL,JFK,JFK,1891,230,64,1
AS,LAS,ATL,1938,1494,70,1
AS,LAS,LAX,604,2322,24,1
UA,SFO,ATL,2614,1010,135,1
NK,ORD,DEN,2989,1609,176,1
B6,ATL,ATL,1950,610,40,1
NK,SFO,DFW,1200,1701,114,1
NK,LAS,ORD,2874,120,43,1
B6,CLT,LAX,1454,937,107,1
B6,CLT,SFO,2429,559,113,1
AS,JFK,DEN,1425,135,109,1
B6,DEN,ORD,919,1081,-17,0
AA,DEN,LAS,836,294,31,1
AA,DFW,DEN,2587,1979,49,1
WN,JFK,DFW,1535,1223,-6,0
B6,ORD,CLT,2845,1268,11,0
UA,ATL,LAX,753,1778,100,1
WN,SFO,DEN,991,1233,17,1
AS,DFW,DEN,2853,467,128,1
B6,LAX,SFO,2197,510,108,1
AA,ORD,ORD,481,1547,22,1
UA,JFK,DEN,2422,634,144,1
WN,DEN,ORD,887,1996,18,1
UA,CLT,CLT,623,1374,40,1
B6,ATL,DFW,2643,1203,172,1
DL,LAX,DEN,2823,1309,76,1
UA,ATL,LAS,592,2159,150,1
UA,ATL,LAS,421,1309,171,1
AS,DFW,DFW,1369,1693,163,1
AA,ORD,SFO,495,2337,21,1
B6,LAS,DEN,490,488,163,1
UA,SFO,ATL,700,1646,38,1
B6,LAS,JFK,859,1227,77,1
AA,SFO,ATL,2692,186,94,1
AS,ATL,LAX,339,2225,21,1
B6,DFW,CLT,944,24,31,1
NK,SFO,LAX,319,1972,148,1
AA,DEN,LAS,1139,1192,139,1
AA,LAS,DEN,1971,1244,7,0
WN,ORD,DFW,2542,1047,89,1
AS,CLT,LAS,894,293,102,1
AS,ATL,LAX,2575,3,117,1
NK,LAS,JFK,764,1218,107,1
B6,JFK,LAS,2531,240,84,1
DL,DFW,ATL,2734,184,8,0
NK,ATL,LAX,392,2202,31,1
WN,DFW,DEN,1816,1059,16,1
AS,DEN,JFK,1944,266,4,0
AA,JFK,ATL,723,559,141,1
AS,CLT,ATL,516,330,165,1
NK,ORD,SFO,1370,2165,139,1
DL,SFO,ORD,800,1237,130,1
UA,SFO,CLT,1930,1583,85,1
UA,LAS,LAX,2207,472,151,1
AS,SFO,ATL,957,1079,125,1
AS,CLT,CLT,2186,216,105,1
WN,ATL,ATL,500,1526,168,1
AS,ATL,DFW,306,1380,163,1
DL,CLT,CLT,1747,856,74,1
AS,ATL,CLT,1295,803,117,1
B6,ATL,DFW,889,88,172,1
NK,ORD,DEN,423,197,-13,0
DL,ORD,LAS,1565,178,64,1
WN,ATL,LAX,1237,1140,-3,0
B6,LAX,ORD,1175,1664,148,1
B6,ORD,LAS,1218,2349,82,1
NK,LAX,ORD,1685,534,78,1
UA,DEN,DFW,1464,1126,7,0
DL,ORD,ORD,2921,1154,72,1
NK,LAX,ATL,1138,946,143,1
B6,LAS,ORD,2368,1336,26,1
WN,CLT,ATL,1603,1028,119,1
NK,DFW,JFK,2922,1986,123,1
UA,LAS,CLT,672,219,67,1
B6,DFW,SFO,2428,224,130,1
NK,DFW,DEN,341,2220,14,0
DL,ATL,SFO,1707,985,31,1
UA,ORD,CLT,1839,2198,175,1
DL,LAS,JFK,2314,2053,7,0
DL,ATL,SFO,1929,2001,115,1
DL,SFO,LAS,1709,881,30,1
NK,DFW,ATL,2333,1169,58,1
UA,SFO,LAX,1889,1556,126,1
NK,CLT,JFK,2959,702,28,1
NK,CLT,CLT,1312,1692,131,1
NK,DEN,LAS,1005,147,53,1
B6,DFW,ORD,548,1959,4,0
AS,LAX,CLT,304,1414,177,1
AA,CLT,CLT,2626,125,17,1
B6,DFW,JFK,2509,516,88,1
UA,CLT,CLT,2291,950,160,1
AA,DEN,LAX,712,1162,101,1
AA,CLT,LAX,2472,661,161,1
AA,JFK,ATL,1893,392,99,1
AS,LAS,SFO,2243,60,29,1
NK,LAS,LAX,2967,1023,163,1
WN,ORD,DFW,1689,2221,103,1
UA,DFW,ATL,2426,810,79,1
AS,SFO,DEN,1580,75,109,1
AS,CLT,ORD,228,71,6,0
WN,SFO,LAS,2327,1230,9,0
AA,ORD,JFK,727,347,161,1
NK,SFO,CLT,629,203,38,1
WN,JFK,DEN,1887,1344,84,1
WN,DFW,ATL,1962,1177,82,1
AS,LAS,LAS,947,1319,37,1
UA,LAX,JFK,1558,217,-11,0
DL,ORD,LAS,747,758,-18,0
NK,LAS,LAX,726,1134,132,1
WN,ORD,DEN,237,1557,1,0
NK,CLT,CLT,860,541,90,1
WN,DEN,LAX,2877,2251,166,1
AA,SFO,DFW,2720,671,-18,0
NK,DFW,ATL,1914,2093,117,1
AA,SFO,DFW,1241,793,166,1
AS,ORD,ATL,715,1574,99,1
AA,DFW,ORD,2164,981,72,1
NK,DEN,ATL,2398,1655,149,1
B6,LAS,DFW,1376,979,74,1
NK,ATL,JFK,2405,2319,161,1
WN,CLT,ATL,2470,1619,49,1
AA,CLT,LAS,1437,1977,27,1
UA,DEN,CLT,1429,1836,54,1
B6,CLT,DFW,312,880,84,1
AS,DFW,ORD,373,111,119,1
DL,JFK,LAX,2147,1259,31,1
WN,ATL,CLT,2285,1637,16,1
WN,DEN,CLT,1001,2333,62,1
UA,LAS,DFW,792,1181,41,1
DL,ATL,SFO,257,2307,80,1
DL,DEN,JFK,2547,135,121,1
AS,DFW,DEN,744,2138,7,0
AS,LAS,LAS,2498,424,-1,0
B6,DEN,SFO,778,2214,79,1
WN,ORD,DFW,1863,2105,-1,0
AA,LAX,DEN,1189,487,137,1
AS,ORD,SFO,1478,447,52,1
UA,DEN,DEN,2720,1417,25,1
UA,CLT,DFW,2615,1515,168,1
UA,CLT,LAX,208,492,81,1
NK,DFW,ORD,969,1231,130,1
AS,JFK,ATL,1877,712,174,1
AS,JFK,DFW,1141,1195,20,1
UA,SFO,JFK,1329,409,99,1
AS,LAX,SFO,1503,1010,42,1
NK,ATL,CLT,2672,2001,117,1
AA,DFW,SFO,1940,1072,29,1
AA,CLT,DFW,1889,631,134,1
B6,LAS,JFK,2717,565,1,0
WN,JFK,LAS,2910,465,-19,0
AA,LAS,LAX,997,139,115,1
B6,DFW,JFK,387,1660,69,1
DL,ATL,LAX,1953,179,161,1
WN,DFW,ATL,1965,549,151,1
AA,LAS,LAX,1924,480,80,1
NK,CLT,DEN,511,328,75,1
DL,DFW,CLT,2106,2211,24,1
B6,DFW,LAS,693,196,-17,0
AA,JFK,CLT,2509,128,44,1
AA,LAS,CLT,540,1523,88,1
AS,ORD,LAS,2741,1722,151,1
DL,JFK,CLT,264,930,48,1
AA,DFW,LAX,818,2007,65,1
UA,ORD,SFO,2873,1203,160,1
NK,DEN,ORD,1877,2149,40,1
AS,SFO,JFK,586,505,86,1
AS,ATL,LAS,1380,1698,46,1
AA,ATL,CLT,381,140,105,1
NK,LAX,DEN,2935,1369,101,1
AS,LAX,LAX,1928,2077,100,1
WN,SFO,JFK,1241,1299,98,1
DL,DFW,DEN,2981,1732,85,1
WN,DFW,DFW,2257,1173,65,1
B6,LAX,LAX,2438,2243,83,1
WN,SFO,JFK,930,1402,139,1
NK,LAX,ORD,1610,625,-2,0
UA,DFW,DFW,919,2058,-3,0
AS,DFW,LAS,2641,2071,22,1
NK,ORD,CLT,2880,1548,101,1
AS,LAX,LAS,2063,2287,124,1
UA,ORD,DFW,2930,576,120,1
AS,DFW,ATL,2887,2192,96,1
WN,DEN,ORD,494,1657,70,1
B6,ATL,ORD,1596,2293,139,1
AA,SFO,ATL,1089,899,81,1
UA,LAX,DFW,752,344,59,1
WN,DEN,SFO,1876,1206,95,1
NK,LAS,LAS,1464,1217,153,1
WN,DFW,ATL,1985,1062,38,1
WN,ATL,DFW,459,2099,27,1
AA,LAS,DFW,361,1214,147,1
DL,DEN,ATL,477,1029,84,1
AS,ATL,ORD,1042,1502,-7,0
AS,JFK,SFO,1296,1804,3,0
NK,LAS,DFW,297,99,111,1
B6,ORD,LAX,793,2182,26,1
NK,DEN,LAS,2672,2102,91,1
DL,JFK,JFK,2014,808,108,1
AS,DEN,ATL,1166,1074,113,1
B6,ORD,SFO,1423,210,167,1
NK,ORD,CLT,1063,289,16,1
B6,SFO,DEN,1924,1531,108,1
WN,LAS,SFO,2144,2052,121,1
UA,DEN,LAS,1121,149,176,1
WN,JFK,DEN,2154,562,27,1
AA,LAS,SFO,1940,469,146,1
AS,DFW,LAX,739,545,-9,0
B6,LAX,SFO,1810,1748,18,1
NK,ORD,SFO,1469,376,87,1
UA,DFW,LAX,595,1064,163,1
NK,LAX,DFW,2362,2274,36,1
AS,ORD,ATL,1218,1878,46,1
B6,CLT,SFO,2034,786,14,0
B6,DEN,ATL,2144,2293,-11,0
WN,LAX,LAS,2276,949,143,1
UA,LAX,LAS,893,1178,28,1
UA,JFK,DFW,2242,102,63,1
AS,SFO,CLT,1992,983,43,1
B6,DEN,ORD,367,308,141,1
UA,DEN,ATL,2334,404,109,1
UA,DFW,LAX,1530,12,35,1
NK,ORD,ORD,2912,1285,73,1
AS,CLT,ATL,1752,692,49,1
WN,ORD,LAS,2993,72,97,1
NK,DFW,ATL,641,1274,118,1
NK,CLT,JFK,933,1325,126,1
DL,ORD,LAX,269,2030,163,1
AA,DFW,SFO,806,475,57,1
DL,DEN,LAX,2575,64,57,1
UA,JFK,ORD,1779,392,0,0
B6,LAX,ORD,2960,805,37,1
AA,SFO,CLT,2299,285,160,1
AA,LAS,SFO,742,2162,1,0
B6,ATL,JFK,501,1461,23,1
AA,DFW,CLT,1915,1447,140,1
B6,ATL,ORD,1141,1305,98,1
AA,ORD,DFW,429,154,87,1
NK,LAX,SFO,228,953,172,1
AS,ORD,ORD,919,1561,-7,0
AS,LAX,CLT,2051,1665,-20,0
DL,CLT,CLT,2762,287,128,1
NK,JFK,LAS,1548,2068,103,1
AA,DFW,DEN,783,1788,39,1
WN,JFK,LAX,2683,228,-12,0
B6,DFW,CLT,236,984,138,1
NK,ORD,LAX,2835,339,87,1
AA,LAS,LAS,601,868,30,1
AS,JFK,LAX,2098,1753,118,1
AS,JFK,SFO,1946,448,2,0
B6,CLT,ORD,2361,1346,-4,0
WN,ORD,JFK,921,170,55,1
AA,SFO,CLT,1067,114,114,1
AA,DFW,SFO,2063,1019,90,1
WN,LAX,ORD,1380,80,69,1
WN,SFO,JFK,1156,181,158,1
WN,SFO,ATL,1861,128,136,1
AS,ORD,DFW,2124,396,41,1
B6,DEN,ORD,2416,651,67,1
NK,DFW,DFW,1376,493,-1,0
WN,JFK,JFK,948,1026,46,1
B6,JFK,SFO,1298,1891,151,1
DL,LAX,LAX,2965,1953,163,1
AA,SFO,DFW,2032,828,125,1
AA,ORD,LAX,2101,2137,-20,0
UA,LAS,CLT,2170,346,96,1
DL,ORD,ORD,888,932,39,1
NK,ATL,JFK,758,286,175,1
WN,CLT,DEN,1100,539,175,1
WN,ATL,CLT,664,1718,68,1
NK,SFO,SFO,530,2096,141,1
AS,DFW,DEN,2789,1,134,1
DL,DEN,DFW,342,1506,153,1
WN,CLT,CLT,853,494,1,0
UA,ATL,ATL,823,1391,164,1
B6,DEN,SFO,2019,1992,130,1
AA,LAX,LAX,2226,2234,33,1
DL,LAS,LAS,2808,2100,67,1
AA,LAS,CLT,639,5,71,1
B6,DEN,ATL,2095,912,-10,0
DL,DEN,SFO,1903,398,161,1
B6,SFO,JFK,581,1557,63,1
WN,ATL,DFW,964,497,-19,0
NK,SFO,LAX,1246,1967,129,1
WN,JFK,LAX,2436,1328,83,1
NK,SFO,LAX,726,94,52,1
WN,JFK,LAX,2211,1544,1,0
B6,CLT,DFW,2760,368,43,1
B6,DEN,ATL,2457,179,-18,0
B6,JFK,JFK,1784,2337,103,1
AA,JFK,DEN,656,1852,97,1
B6,ATL,ORD,761,2083,176,1
WN,SFO,CLT,2580,101,31,1
UA,DFW,LAX,1237,879,100,1
B6,DFW,CLT,1424,1895,61,1
UA,CLT,DEN,2785,896,7,0
NK,LAX,DFW,2727,1119,21,1
WN,ATL,DEN,1098,741,117,1
B6,ATL,DEN,601,2289,163,1
AA,CLT,ATL,668,1999,80,1
AA,DEN,JFK,1510,1016,72,1
NK,LAS,LAX,1513,195,170,1
UA,LAS,CLT,497,1827,156,1
AS,ATL,LAS,902,649,61,1
AA,SFO,ATL,2791,766,178,1
AA,ORD,CLT,924,1585,178,1
AA,DEN,DEN,1762,1301,145,1
WN,JFK,JFK,1448,476,36,1
AA,DFW,DEN,1098,607,-20,0
DL,DEN,SFO,1224,1483,105,1
B6,DFW,JFK,2484,1463,173,1
NK,SFO,LAS,2571,2220,148,1
AA,ATL,DEN,1025,860,94,1
AS,DFW,CLT,2466,111,67,1
AS,ATL,CLT,2430,1826,100,1
AA,LAS,LAS,433,523,94,1
AA,LAX,JFK,779,1829,21,1
DL,JFK,DEN,851,2147,144,1
AA,ATL,LAS,2342,768,44,1
AA,DEN,CLT,2964,1157,37,1
B6,CLT,ATL,1129,962,8,0
AS,ATL,DFW,2984,291,87,1
DL,JFK,LAS,1903,1018,51,1
AS,LAS,DFW,2677,1462,119,1
DL,ORD,LAS,2405,971,155,1
AS,DEN,JFK,1142,1831,94,1
AA,CLT,LAS,1858,133,171,1
AS,DFW,LAS,1373,1607,160,1
AS,SFO,DEN,1978,1059,-7,0
DL,LAS,SFO,1771,2206,71,1
NK,JFK,DEN,2456,238,63,1
UA,CLT,ATL,720,1840,133,1
DL,LAX,SFO,2379,570,-13,0
DL,JFK,LAX,1261,1273,107,1
DL,ATL,ORD,1123,1477,84,1
WN,DEN,ATL,1817,84,-1,0
NK,CLT,ORD,652,38,9,0
WN,JFK,LAS,457,88,114,1
WN,JFK,ATL,978,915,52,1
DL,LAX,JFK,357,883,144,1
UA,LAS,CLT,371,919,174,1
DL,ATL,ATL,1058,1837,154,1
AA,SFO,LAS,1238,1513,31,1
UA,ORD,LAS,2975,1424,156,1
WN,JFK,LAS,1434,328,121,1
AS,JFK,LAS,2429,1814,173,1
AS,LAS,SFO,867,523,48,1
NK,ATL,LAS,2063,179,130,1
B6,ORD,SFO,1117,575,93,1
NK,DFW,CLT,1155,1808,133,1
UA,JFK,LAX,2498,86,108,1
WN,ORD,ATL,1945,2094,115,1
UA,ATL,ATL,2512,1562,135,1
UA,DEN,ATL,2418,702,104,1
AS,LAS,ORD,1245,1134,-6,0
DL,ORD,JFK,2758,2204,172,1
AA,ATL,DEN,320,1693,173,1
B6,DFW,DFW,1165,174,120,1
WN,CLT,ORD,1490,1321,71,1
UA,LAS,SFO,542,956,61,1
B6,ORD,DEN,306,1336,145,1
UA,ORD,ATL,1406,432,114,1
AS,SFO,LAS,369,1870,170,1
AA,LAS,ATL,2911,325,106,1
AS,JFK,LAS,1233,2044,106,1
B6,JFK,ORD,2223,1723,161,1
WN,LAX,SFO,1192,2160,88,1
UA,DEN,SFO,2713,1369,-19,0
AA,ORD,JFK,2676,1702,163,1
AS,CLT,JFK,1881,271,171,1
B6,DFW,LAX,2868,1135,61,1
AS,ORD,ATL,2272,1324,117,1
UA,CLT,LAX,1519,1412,152,1
UA,CLT,DFW,2758,1674,85,1
WN,LAX,LAX,2694,2345,35,1
AA,DFW,CLT,1159,1862,70,1
DL,ORD,DEN,2282,140,5,0
AS,SFO,ORD,1379,1620,28,1
UA,LAX,LAX,596,1136,103,1
B6,LAS,LAS,1840,839,12,0
AS,LAX,JFK,1054,1131,112,1
WN,LAX,DEN,1479,1011,159,1
WN,DEN,SFO,2491,1768,146,1
UA,ORD,LAS,2559,1614,79,1
UA,ORD,SFO,1078,1934,35,1
UA,LAX,ATL,542,778,-11,0
NK,DFW,LAX,2032,1745,66,1
DL,DFW,DEN,1293,59,50,1
UA,SFO,SFO,774,1993,9,0
AS,CLT,DEN,228,1484,63,1
AS,CLT,ATL,1800,416,118,1
NK,ORD,SFO,2878,1496,-3,0
NK,DEN,DEN,1104,1220,26,1
AA,DFW,DEN,2527,749,170,1
B6,ATL,LAX,1715,1252,129,1
UA,DEN,LAX,2017,2351,87,1
AS,ATL,DEN,1982,424,115,1
NK,CLT,JFK,471,2124,86,1
AS,LAS,CLT,2446,1111,127,1
AS,JFK,LAS,941,575,119,1
NK,JFK,CLT,474,1754,107,1
DL,ATL,DEN,1871,861,31,1
NK,DEN,JFK,2945,635,114,1
NK,CLT,CLT,853,1344,73,1
B6,JFK,LAX,2841,1969,99,1
NK,ORD,ATL,1336,184,4,0
WN,ATL,JFK,1312,1445,139,1
NK,LAX,JFK,1284,790,136,1
AS,LAS,DFW,1790,213,95,1
UA,ORD,DEN,2071,178,125,1
AS,ATL,LAS,2198,2118,3,0
B6,ATL,ORD,499,1942,65,1
WN,JFK,LAX,992,501,129,1
NK,DFW,LAX,1539,1062,134,1
DL,DFW,CLT,1504,1279,43,1
AA,LAX,LAS,1414,1598,28,1
NK,JFK,CLT,2475,123,65,1
UA,DFW,ORD,2043,1606,-4,0
AA,DFW,CLT,2859,135,55,1
DL,SFO,DEN,1344,604,164,1
B6,LAX,DEN,2351,788,134,1
B6,CLT,LAS,535,2237,-3,0
DL,DFW,CLT,2381,1357,108,1
AS,DFW,JFK,2773,1682,129,1
DL,LAS,SFO,2204,5,3,0
NK,LAX,DEN,928,1859,163,1
UA,LAX,DFW,1587,928,72,1
WN,DFW,ORD,547,2243,-8,0
NK,JFK,JFK,2765,1219,35,1
NK,DFW,CLT,1041,1272,100,1
NK,DFW,ORD,1102,495,145,1
AA,CLT,SFO,274,974,62,1
AA,DEN,DEN,2003,675,-14,0
B6,DEN,LAX,2256,899,52,1
NK,DFW,LAX,588,1519,23,1
AS,DFW,ORD,2145,2278,27,1
B6,CLT,ORD,418,1029,89,1
UA,JFK,LAX,454,2338,85,1
DL,LAS,CLT,2224,784,86,1
AA,DEN,JFK,2353,1892,51,1
NK,LAS,ORD,1270,547,116,1
UA,LAX,JFK,239,591,104,1
B6,ORD,ATL,1475,2157,-11,0
B6,JFK,JFK,2197,914,70,1
AA,DFW,JFK,2232,1670,165,1
B6,LAX,ATL,1668,249,28,1
AS,JFK,DEN,2200,838,139,1
B6,LAS,DEN,1551,793,122,1
WN,LAS,ATL,968,289,40,1
DL,DEN,SFO,1649,829,176,1
B6,CLT,CLT,1165,268,52,1
WN,LAS,LAX,513,54,121,1
UA,DFW,LAS,2293,1187,157,1
B6,LAX,DFW,780,624,-2,0
AS,ATL,DEN,2630,397,176,1
UA,ORD,JFK,604,2006,45,1
NK,SFO,ATL,1206,1472,23,1
B6,CLT,SFO,2212,1528,170,1
AA,DFW,DEN,2133,1638,-3,0
WN,LAX,LAX,880,363,171,1
WN,LAS,SFO,2560,858,31,1
AA,JFK,LAS,2474,248,76,1
DL,DFW,LAS,1271,671,119,1
NK,ORD,ORD,2080,421,37,1
AS,CLT,DEN,2850,2072,-3,0
WN,CLT,JFK,910,1589,85,1
UA,JFK,ATL,1441,278,123,1
AS,ATL,DFW,1672,390,99,1
WN,CLT,LAS,1635,1025,164,1
NK,LAS,ORD,1644,1752,56,1
DL,LAS,LAS,2519,752,95,1
NK,LAX,DFW,2061,1244,28,1
UA,LAS,ORD,2140,10,21,1
NK,CLT,LAX,2685,1752,51,1
AS,LAS,LAS,836,677,-3,0
UA,LAS,DEN,1481,1368,160,1
AA,ORD,DEN,2007,870,11,0
B6,DFW,LAX,1092,123,161,1
AA,ORD,CLT,1495,272,100,1
AS,DEN,DFW,2945,1821,94,1
B6,DFW,DEN,1820,1842,44,1
AA,LAX,LAS,397,1699,87,1
B6,ORD,CLT,361,1055,169,1
WN,SFO,LAS,2157,318,71,1
NK,DFW,SFO,1650,115,-10,0
UA,ORD,JFK,1433,726,24,1
B6,ATL,JFK,476,1459,88,1
WN,DEN,ATL,1174,1499,109,1
NK,CLT,LAX,357,1427,139,1
NK,SFO,LAS,2288,2159,4,0
DL,ORD,ATL,1985,1684,95,1
AA,LAX,DFW,1215,664,68,1
DL,ORD,LAX,620,91,37,1
AS,DFW,LAS,1238,2209,24,1
WN,SFO,CLT,2265,874,33,1
DL,CLT,SFO,721,2165,67,1
DL,DEN,SFO,778,1842,179,1
NK,LAX,CLT,1570,829,32,1
WN,LAX,SFO,965,1217,177,1
NK,DFW,SFO,1106,180,51,1
UA,DFW,DEN,1573,896,85,1
B6,JFK,LAS,2439,946,63,1
AS,JFK,ATL,584,724,40,1
AS,LAS,DFW,1554,126,133,1
AA,SFO,DEN,2026,1312,-14,0
NK,CLT,SFO,2006,1666,17,1
B6,DFW,DFW,2512,450,162,1
AA,ORD,DFW,1651,768,-19,0
AS,ORD,DEN,915,1049,-4,0
B6,ORD,LAS,2261,1489,118,1
DL,JFK,DEN,1535,1959,53,1
UA,ORD,CLT,2253,1113,35,1
DL,LAX,ATL,404,358,151,1
UA,CLT,SFO,986,2089,37,1
NK,DEN,DFW,855,796,159,1
WN,DFW,ATL,2179,2240,135,1
AA,JFK,LAX,2532,141,167,1
AA,LAX,LAS,1417,349,167,1
WN,LAX,DFW,2856,1897,49,1
B6,SFO,DEN,696,418,147,1
WN,SFO,JFK,757,2140,107,1
NK,DEN,ATL,1476,140,132,1
AS,CLT,DFW,1583,200,5,0
WN,ATL,ATL,365,742,21,1
UA,LAS,LAX,1890,692,118,1
AS,CLT,JFK,239,461,168,1
WN,ORD,LAS,1995,1382,122,1
AA,ORD,ATL,2500,1959,102,1
DL,LAS,CLT,2366,1452,147,1
UA,LAS,CLT,1263,702,158,1
NK,DFW,ATL,1511,121,153,1
UA,JFK,CLT,1309,469,73,1
B6,ORD,ATL,1254,842,-12,0
DL,DFW,DEN,2227,1594,84,1
UA,ATL,DFW,534,1046,-6,0
WN,ATL,JFK,1394,1726,43,1
UA,JFK,LAS,2783,1642,163,1
UA,DEN,DEN,2448,1262,17,1
UA,ATL,LAS,1994,1658,42,1
B6,JFK,ATL,1290,1286,-3,0
UA,DEN,ATL,1801,569,86,1
UA,DFW,ATL,304,1829,93,1
B6,DFW,LAX,2840,1786,13,0
AS,LAX,ORD,2833,1443,177,1
DL,JFK,DFW,2119,461,-13,0
NK,SFO,ATL,813,860,175,1
AS,DFW,JFK,1874,821,32,1
AA,ORD,CLT,578,337,89,1
B6,DEN,ATL,1388,1438,3,0
B6,ORD,ATL,2084,984,149,1
UA,DEN,SFO,1874,541,23,1
UA,DEN,DEN,2922,2098,91,1
NK,LAS,LAX,2937,2095,14,0
AA,CLT,ATL,1638,406,171,1
UA,JFK,LAX,547,1861,118,1
WN,SFO,ORD,1556,692,89,1
UA,LAS,DEN,1000,616,12,0
UA,LAX,LAS,1237,2095,68,1
WN,LAS,JFK,678,30,112,1
AA,DEN,ATL,2027,1751,107,1
WN,ORD,CLT,2228,1913,36,1
B6,CLT,ATL,1574,1717,153,1
WN,SFO,DEN,583,1242,114,1
DL,CLT,JFK,330,177,-12,0
B6,CLT,ATL,806,966,156,1
UA,SFO,SFO,1791,2029,-13,0
NK,JFK,DEN,1635,892,103,1
B6,CLT,LAS,1641,516,69,1
AA,DFW,ORD,871,2077,65,1
AA,LAX,DFW,2307,943,3,0
WN,LAX,SFO,1176,1560,-4,0
B6,LAX,JFK,1199,1628,125,1
UA,LAS,LAS,1507,2243,18,1
AA,DFW,LAS,1639,1330,171,1
AS,ORD,ORD,650,91,121,1
UA,DEN,CLT,1407,1181,41,1
AS,LAS,LAX,892,317,164,1
DL,LAS,ATL,1386,1338,135,1
AS,LAS,SFO,544,942,131,1
AA,ATL,LAS,2485,1758,142,1
WN,DFW,ATL,645,397,26,1
DL,JFK,JFK,1215,906,74,1
B6,DEN,SFO,2565,1282,24,1
UA,LAX,ORD,2382,359,27,1
AA,SFO,LAS,1146,2318,34,1
DL,ATL,LAS,1489,609,101,1
DL,ATL,LAX,1682,35,100,1
AA,LAS,SFO,663,1647,106,1
B6,JFK,CLT,525,1112,68,1
B6,DEN,JFK,685,891,115,1
WN,LAX,DFW,2723,1571,166,1
NK,DEN,CLT,1516,1539,101,1
AS,SFO,LAX,306,1873,12,0
B6,ORD,JFK,321,1145,138,1
WN,ATL,ATL,2473,1542,58,1
AS,LAX,JFK,2302,1951,32,1
DL,SFO,DFW,1975,744,158,1
AA,LAS,CLT,1258,2329,8,0
B6,DFW,CLT,2668,2264,113,1
WN,DFW,LAS,693,659,51,1
DL,LAS,DFW,1490,2221,32,1
B6,CLT,CLT,681,2083,-14,0
UA,JFK,DFW,549,917,95,1
NK,LAX,SFO,584,2259,0,0
DL,SFO,CLT,1572,1046,-14,0
B6,ORD,CLT,2944,1096,-3,0
DL,DEN,LAX,1124,1550,179,1
AA,JFK,JFK,2490,43,165,1
AA,CLT,CLT,2397,214,47,1
NK,LAX,LAS,727,507,26,1
AA,JFK,SFO,579,248,-13,0
AS,LAX,CLT,2115,847,95,1
UA,CLT,LAS,1531,1600,66,1
AA,DFW,ATL,1579,1348,112,1
UA,LAS,ORD,244,1869,162,1
AA,ORD,ATL,905,589,117,1
AS,CLT,ORD,859,1985,120,1
DL,ATL,LAX,2723,1133,102,1
B6,SFO,JFK,2523,534,141,1
B6,CLT,ATL,2338,1524,17,1
AA,ORD,DFW,2007,1073,61,1
B6,ORD,CLT,2923,418,120,1
AA,JFK,SFO,806,276,143,1
AA,CLT,DEN,368,1525,-18,0
NK,LAX,DEN,1187,618,-4,0
